Name,Description,URL,Qty,Price(€)
Raspberry Pi,4 Model B 4GB,https://www.amazon.ie/Raspberry-Pi-ARM-Cortex-A72-1-50GHz-Bluetooth/dp/B07TC2BK1X/ref=sr_1_4,1,96
MicroSD Card,32GB,https://www.aliexpress.com/item/1005005262472106.html,1,6.66
SSD,500GB USB 3.0,https://www.amazon.ie/Sonnics-External-Portable-transfer-Windows/dp/B0771LDDCW/ref=asc_df_B0771LDDCW,1,35.97
OLED,0.96 I2C,https://www.aliexpress.com/item/1005006141235306.html,1,2.63
Fan,40mm Cooling Fan,https://www.amazon.ie/GeeekPi-Raspberry-Brushless-Cooling-40x40x10mm/dp/B07X93XGBD/ref=sr_1_5,1,9.99
Button,Red Push Button 2 Pin,https://www.aliexpress.com/item/10000274959292.html,1,1.61
RGB LED,SK6812MINI-E,Owned - Reuse From Hackpad Kit,1,0.00
Power Supply,Official Supply,https://www.aliexpress.com/item/1005004625705701.html,1,5.07
Heat Sink,Blue kit,https://www.aliexpress.com/item/1005003083830470.html,1,2.36
Shipping,,,1,8.85
Total,,,1,161.51
